mill_name_,latitude,longitude,iso,certificat,group_name
Rantau Kasai,1.159,100.1915,IDN,None,Unknown
Saengsiri Agro-Industries Co. Ltd,9.1067,99.4062,THA,None,Unknown
S.P.O Agro-Industries Co. Ltd,9.0128,99.8571,THA,None,Unknown
Stable Win,2.4551,102.9867,MYS,None,Unknown
Genting Oil Mill,1.9808,103.2173,MYS,None,Unknown
Jeram Padang Mill,2.7333,102.4,MYS,None,Unknown
Sekarbumi Alamlestari Mill,0.7572,101.2031,IDN,None,Unknown
Sarawak  Land Consolidation & Rehabilitation Authorithy (Lubok Antu Mill),1.2336,111.4637,MYS,None,Unknown
Sei Lilin,1.6657,101.4476,IDN,None,Unknown
Kilang Kelapa Sawit Kemaman,4.2993,103.3854,MYS,None,Unknown
Kilang Kelapa Sawit Sedenak,1.4634,103.7547,MYS,None,Unknown
Sri Jelutung Palm Oil Mill,3.8022,103.3248,MYS,None,Unknown
Kilang Kelapa Sawit Felcra Seberang Perak,4.1733,100.9469,MYS,None,Unknown
Kilang Kelapa Sawit Lima Blas,2.9962,101.7873,MYS,None,Unknown
Kilang Kelapa Sawit Ulu Basir,3.7244,101.2558,MYS,None,Unknown
Kilang Kelapa Sawit Sungai Dingin,5.5044,100.6294,MYS,None,Unknown
Revenue Direction Palm Oil Mill,1.8024,103.6239,MYS,None,Unknown
Boustead Pelita Kanowit Oil Mill,2,112,MYS,None,Unknown
K.K.S Ulu Sembol,3.1923,101.6741,MYS,None,Unknown
K.K.S Tai Tak,1.6939,103.8586,MYS,None,Unknown
KKS Adela,4.0793,101.9758,MYS,None,Unknown
KKS Kulai,1.731,103.6445,MYS,None,Unknown
Chin Teck Plantations,2.4886,102.7303,MYS,None,Unknown
Kilang Kelapa Sawit Alaf,1.7189,103.7822,MYS,None,Unknown
Ban Dung Palm Oil Industries Sdn Bhd,2.0456,102.8798,MYS,None,Unknown
KKS Belitong,1.9375,103.4978,MYS,None,Unknown
KKS Bukit Besar,1.7657,103.6768,MYS,None,Unknown
Elite Palms Industries Sdn Bhd,5.6733,100.9183,MYS,None,Unknown
Kilang Kelapa Sawit Kemahang,5.8074,102.151,MYS,None,Unknown
Kilang Kelapa Sawit Paloh 3,4.9999,102.2748,MYS,None,Unknown
Endau Palm Oil Mill,2.7401,103.4974,MYS,None,Unknown
Kilang Kelapa Sawit Sri Lingga,2.374,102.2114,MYS,None,Unknown
Kilang Kelapa Sawit Serting,2.9004,102.446,MYS,None,Unknown
Kilang Kelapa Sawit Ulu Kanchong,2.5826,101.9979,MYS,None,Unknown
Kilang Kosfarm Sdn Bhd,2.9934,102.8198,MYS,None,Unknown
KKS Charuk Putting,3.4402,102.4912,MYS,None,Unknown
Kilang Kelapa Sawit Jerantut,3.8645,102.3457,MYS,None,Unknown
Wujud Wawasan,3.0339,102.8404,MYS,None,Unknown
Kilang Kelapa Sawit Felcra Maran,3.5586,102.6899,MYS,None,Unknown
KKS Keratong 9,2.9626,102.9763,MYS,None,Unknown
KKS Ladang Rompin,2.9116,102.7794,MYS,None,Unknown
Kilang Minyak Sawit Ulu Basir,4.197,101.2592,MYS,None,Unknown
Syarikat Cahaya Muda Perak (Oil Mil) Sdn Bhd,4.204,101.261,MYS,None,Unknown
KKS Besout,4.0002,101.3101,MYS,None,Unknown
Cheekah Kemayan,3.1486,102.4754,MYS,None,Unknown
KKS Changkat Cermin,2.8536,101.4301,MYS,None,Unknown
KKS Yee Lee Palm Oil Industries S/B,4.1097,101.2824,MYS,None,Unknown
KKS Ladang Gula,4.9787,100.4617,MYS,None,Unknown
Kilang Kalapa Sawit Kalumpang,5.3108,100.4452,MYS,None,Unknown
Bukit Rotan Palm Oil Mills Sdn Bhd,3.3019,101.3005,MYS,None,Unknown
K.K.S Kampung Kuantan Bhd,3.3604,101.3069,MYS,None,Unknown
